model,seed,Recall@10,NDCG@10,MRR,gender_recall_gap,age_band_recall_gap,disability_recall_gap,imd_binary_recall_gap,gender_SPD,gender_EOD,gender_AOD,age_band_SPD,age_band_EOD,age_band_AOD,disability_SPD,disability_EOD,disability_AOD,imd_SPD,imd_EOD,imd_AOD,run_time_sec
popularity,2,0.032648378011891105,0.017648237851641626,0.013149144316349906,0.002639288430380582,0.024394308871774177,0.007799976922528984,0.013860637083659467,0.001089498296757918,0.002639288430380582,0.0018529780660669869,0.00647306140696903,-0.005157388140274357,0.0007202765645285911,-0.003185505415607859,0.007799976922528984,0.0022488537212062495,-0.0026602116405366263,0.010285567551037572,0.0037434656828458715,8.76654052734375
cf,2,0.04193178262230103,0.023635116172698152,0.018138208541880183,0.0005114571967066786,0.029632521066881867,0.005513932641277648,0.020030561975545803,0.0011940967393460206,-0.0005114571967066786,0.00034838644911167754,0.006625046363892453,-0.008008425402930758,-0.0006139228154316036,-0.003555499834701513,0.005513932641277648,0.0009313484624496257,-0.00265460531460273,0.013509937279185369,0.005342117036571625,43.9860782623291
sasrec,2,0.04047147178470846,0.022343316192020568,0.016877655643692986,1.5871441325226998e-06,0.013783383917241217,0.0019382992848066827,0.018433966199424775,0.001177329014670131,-1.5871441325226998e-06,0.0005919520487693147,0.006725088451348948,-0.009063481377954069,-0.0010852624135298285,-0.003424066040057183,0.0019382992848066827,-0.0007715611462781151,-0.002974299331095602,0.011192204524581348,0.004033805907513597,336.9759933948517
sasrec_fair_lam0.0,2,0.04047147178470846,0.022343316192020568,0.016877655643692986,1.5871441325226998e-06,0.013783383917241217,0.0019382992848066827,0.018433966199424775,0.001177329014670131,-1.5871441325226998e-06,0.0005919520487693147,0.006725088451348948,-0.009063481377954069,-0.0010852624135298285,-0.003424066040057183,0.0019382992848066827,-0.0007715611462781151,-0.002974299331095602,0.011192204524581348,0.004033805907513597,336.9759933948517
sasrec_rerank_a0.0,2,0.04047147178470846,0.022343316192020568,0.016877655643692986,1.5871441325226998e-06,0.013783383917241217,0.0019382992848066827,0.018433966199424775,0.001177329014670131,-1.5871441325226998e-06,0.0005919520487693147,0.006725088451348948,-0.009063481377954069,-0.0010852624135298285,-0.003424066040057183,0.0019382992848066827,-0.0007715611462781151,-0.002974299331095602,0.011192204524581348,0.004033805907513597,336.9759933948517
sasrec_fair_lam0.1,2,0.03188345328743785,0.018279121797327512,0.014183131036682721,0.0037315669006969462,0.028252428319970994,0.0010586755114568788,0.013539894114414617,0.001120880553641658,0.0037315669006969462,0.0024091255438420875,0.006732611761255856,-0.0042292473710902265,0.0013106441125125858,-0.0030570859143339638,0.0010586755114568788,-0.0010219135167546661,-0.0028996318295826523,0.009165696650260288,0.0030683926940171923,440.39689445495605
sasrec_fair_lam0.5,2,0.029901602864990787,0.016039760164928224,0.011872738270464358,0.005600958164791118,0.027357707174727932,0.0020537560666880617,0.016718847526450233,0.0011447286477185917,0.005600958164791118,0.003345796860725737,0.0066874286679181605,-0.007846848336225506,-0.0005018186527180595,-0.003065934341434713,0.0020537560666880617,-0.00053412918679566,-0.002726309421793062,0.00762787342615074,0.002395022927261764,648.8332042694092
sasrec_fair_lam1.0,2,0.02899760091790967,0.01582588257375245,0.01186263861501162,0.007788395478108799,0.020069823336432695,0.0010573564021028534,0.01107034641779937,0.0010253051316133563,0.007788395478108799,0.004367582795370747,0.006450631831462064,-0.0029155128097228776,0.0018182646862365,-0.0029018654600791033,0.0010573564021028534,-0.0009443174595953757,-0.002837794809925763,0.008158758660546547,0.0026012807287343464,402.92470622062683
sasrec_fair_lam2.0,2,0.021278815062063212,0.00971474343755852,0.0062946654502928625,0.005169916270799119,0.017913428419384456,0.0023816033399293446,0.011354724407327795,0.0012917784059901308,0.005169916270799119,0.003205449281571274,0.0068801090145704236,-0.0051132024629831525,0.0009484273164452762,-0.0031493438280518968,-0.0023816033399293446,-0.0027714046479834185,-0.0029328850326078224,0.004663368799420718,0.0008234328193033845,254.77314376831055
sasrec_rerank_a0.1,2,0.04015854803379577,0.02221919180733666,0.016812132059341824,0.0005665810637539639,0.013186903153745842,0.0018852294326899416,0.01803106531304283,0.0011417590830350918,-0.0005665810637539639,0.0002943920627537268,0.006736051390143549,-0.008119898913660356,-0.000612888510707843,-0.0033758657417217106,0.0018852294326899416,-0.0007734874534956436,-0.0029394201898015893,0.011023276497347745,0.003967832644629774,375.42539644241333
